"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\projects\shopApp3\src\app\shared\components\calculator\calculator.component.ts", "TypeScript", 0, 0, 79, 0, 1, 15, 95
"c:\projects\shopApp3\src\app\shared\components\nav\nav.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\shared\components\nav\nav.component.html", "HTML", 0, 69, 0, 0, 0, 6, 75
"c:\projects\shopApp3\src\app\shared\components\nav\nav.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\shared\components\nav\nav.component.ts", "TypeScript", 0, 0, 34, 0, 0, 9, 43
"c:\projects\shopApp3\src\app\shared\components\notification\notification.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\shared\components\notification\notification.component.html", "HTML", 0, 31, 0, 0, 0, 1, 32
"c:\projects\shopApp3\src\app\shared\components\notification\notification.component.spec.ts", "TypeScript", 0, 0, 26, 0, 0, 8, 34
"c:\projects\shopApp3\src\app\shared\components\notification\notification.component.ts", "TypeScript", 0, 0, 27, 0, 0, 7, 34
"c:\projects\shopApp3\src\app\shared\services\api\api.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\projects\shopApp3\src\app\shared\services\api\api.service.ts", "TypeScript", 0, 0, 29, 0, 1, 8, 38
"c:\projects\shopApp3\src\app\shared\services\auth\auth-state.service.ts", "TypeScript", 0, 0, 53, 0, 12, 13, 78
"c:\projects\shopApp3\src\app\shared\services\auth\auth.service.ts", "TypeScript", 0, 0, 75, 0, 0, 9, 84
"c:\projects\shopApp3\src\app\shared\services\auth\user.model.ts", "TypeScript", 0, 0, 26, 0, 8, 6, 40
"c:\projects\shopApp3\src\app\shared\services\ledger\ledger.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\projects\shopApp3\src\app\shared\services\ledger\ledger.service.ts", "TypeScript", 0, 0, 54, 0, 0, 8, 62
"c:\projects\shopApp3\src\app\shared\services\notification\notification.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\projects\shopApp3\src\app\shared\services\notification\notification.service.ts", "TypeScript", 0, 0, 43, 0, 0, 10, 53
"c:\projects\shopApp3\src\app\shared\services\posItem\pos-item.service.ts", "TypeScript", 0, 0, 159, 0, 0, 13, 172
"c:\projects\shopApp3\src\app\shared\services\product\product.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\projects\shopApp3\src\app\shared\services\product\product.service.ts", "TypeScript", 0, 0, 56, 0, 0, 8, 64
"c:\projects\shopApp3\src\assets\fonts\brand-icons.svg", "XML", 0, 0, 0, 3566, 4, 1, 3571
"c:\projects\shopApp3\src\assets\fonts\icons.svg", "XML", 0, 0, 0, 4934, 4, 1, 4939
"c:\projects\shopApp3\src\assets\fonts\outline-icons.svg", "XML", 0, 0, 0, 799, 4, 1, 804
"c:\projects\shopApp3\src\environments\environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 1, 5
"c:\projects\shopApp3\src\environments\environment.ts", "TypeScript", 0, 0, 4, 0, 11, 3, 18
"c:\projects\shopApp3\src\index.html", "HTML", 0, 16, 0, 0, 0, 1, 17
"c:\projects\shopApp3\src\main.ts", "TypeScript", 0, 0, 9, 0, 0, 4, 13
"c:\projects\shopApp3\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 57, 8, 66
"c:\projects\shopApp3\src\styles.css", "CSS", 46, 0, 0, 0, 1, 13, 60
"c:\projects\shopApp3\src\test.ts", "TypeScript", 0, 0, 18, 0, 4, 4, 26
"Total", "-", 49, 778, 3445, 9299, 112, 834, 14517
